ID,ACTIVE_LABEL,SMILES,SOL_CD73_INHIB_PERCENT_5uM,SOL_CD73_INHIB_PERCENT_5uM_SD,CELL_CD_73_INHIB_PERCENT_100uM,CELL_CD_73_INHIB_PERCENT_100uM_SD,KI_uM,KI_uM_SD,NOTE
RR25_Rahimova_2017,False,[O-][N+](C1=CC=C(OC(C(C(N2CCN(CCN3C(C4=CC=CC5=CC=CC(C3=O)=C45)=O)CC2)=O)C6)=O)C6=C1)=O,-16,4,NA,NA,NA,NA,NA
RR26_Rahimova_2017,True,O=C(/C(S1)=C/C(C(C2=CC=C(OCCO3)C3=C2)=N4)=CN4C5=CC=CC=C5)N6C1=NC(C7=CC=CC=C7C)=N6,53,3,NA,NA,NA,NA,NA
RR27_Rahimova_2017,False,OC1=NC(C2CCN(C(C(C3=CC=CC=C3)C4=CC=CC=C4)=O)CC2)=NC5=C1N=NN5CC6=CC(Cl)=CC=C6,-16,14,NA,NA,NA,NA,NA
RR28_Rahimova_2017,False,O=C(N1CCC(C2=CC=C(C(F)(F)F)C=C2)(NC(C)=O)CC1)CCC(N3CCC(C4=CC=C(C(F)(F)F)C=C4)(NC(C)=O)CC3)=O,-61,10,NA,NA,NA,NA,NA
RR29_Rahimova_2017,False,C/C(CCC1=CC(OCO2)=C2C=C1)=N/NC(N)=[NH2+],18,13,NA,NA,NA,NA,NA
RR30_Rahimova_2017,False,O=C(NC1=NN=C(C)S1)CSC2=NN=C(CC)O2,10,5,NA,NA,NA,NA,NA
RR31_Rahimova_2017,False,CC1=C(C)C=CC(N2CCN(CCC[NH3+])CC2)=C1,-22,5,NA,NA,NA,NA,NA
RR32_Rahimova_2017,False,CC1=CC(N2CCN(C)CC2)=NC3=CC=CC=C31,14,8,NA,NA,NA,NA,NA
RR33_Rahimova_2017,True,CCOC1=CC=C(C2=NC(CNC)=C(C)O2)C=C1,55,12,NA,NA,NA,NA,NA
1a_Ghoteimi_2023,True,COC(C=C1)=CC=C1C2=C(C#N)C(SCC(NC3=CC=C(C(OCC)=O)C=C3)=O)=NC(C4=CC=C(OC)C=C4)=C2,87,3,NA,NA,NA,NA,Undetermined cell inhibition; solubility
1b_Ghoteimi_2023,True,COC(C=C1)=CC=C1C2=C(C#N)C(SCC(NC3=NOC=C3)=O)=NC(C4=CC=C(OC)C=C4)=C2,78,0.5,27,7,NA,NA,NA
1c_Ghoteimi_2023,True,COC(C=C1)=CC=C1C2=C(C#N)C(SCC(NC3=NC=CS3)=O)=NC(C4=CC=C(OC)C=C4)=C2,27,3,22,1,NA,NA,NA
1d_Ghoteimi_2023,True,COC(C=C1)=CC=C1C2=C(C#N)C(SCC(OC)=O)=NC(C3=CC=C(OC)C=C3)=C2,30,5,NA,NA,NA,NA,Undetermined cell inhibition; solubility
1aa_Ghoteimi_2023,False,COC1=CC=C(C2=C(C(OCC(NC3=CC=C(C=C3)C(OCC)=O)=O)=NC(C4=CC=C(C=C4)OC)=C2)C#N)C=C1,9,1,32,10,NA,NA,NA
2a_Ghoteimi_2023,True,N#CC(C(SCC(NC1=CC=C(C=C1)C(OCC)=O)=O)=NC(C2=CC=C(C=C2)N3CCOCC3)=C4)=C4C5=CC=C(C=C5)N6CCOCC6,70,1,37,4,NA,NA,NA
2b_Ghoteimi_2023,True,N#CC(C(SCC(NC1=NOC=C1)=O)=NC(C2=CC=C(C=C2)N3CCOCC3)=C4)=C4C5=CC=C(C=C5)N6CCOCC6,68,3,44,13,NA,NA,NA
2c_Ghoteimi_2023,True,N#CC(C(SCC(NC1=NC=CS1)=O)=NC(C2=CC=C(C=C2)N3CCOCC3)=C4)=C4C5=CC=C(C=C5)N6CCOCC6,59,4,35,6,NA,NA,NA
2d_Ghoteimi_2023,False,N#CC(C(SCC(OC)=O)=NC(C1=CC=C(C=C1)N2CCOCC2)=C3)=C3C4=CC=C(C=C4)N5CCOCC5,-14,10,39,8,NA,NA,NA
2aa_Ghoteimi_2023,True,N#CC(C(OCC(NC1=CC=C(C=C1)C(OCC)=O)=O)=NC(C2=CC=C(C=C2)N3CCOCC3)=C4)=C4C5=CC=C(C=C5)N6CCOCC6,41,7,49,10,NA,NA,NA
8a_Ghoteimi_2023,True,COC(C=C1)=CC=C1C2=C3C(SC(C(NC4=CC=C(C(OCC)=O)C=C4)=O)=C3N)=NC(C5=CC=C(OC)C=C5)=C2,53,4,34,7,NA,NA,NA
8b_Ghoteimi_2023,False,COC(C=C1)=CC=C1C2=C3C(SC(C(NC4=NOC=C4)=O)=C3N)=NC(C5=CC=C(OC)C=C5)=C2,16,5,33,8,NA,NA,NA
8c_Ghoteimi_2023,True,COC(C=C1)=CC=C1C2=C3C(SC(C(NC4=NC=CS4)=O)=C3N)=NC(C5=CC=C(OC)C=C5)=C2,57,3,45,2,NA,NA,NA
8d_Ghoteimi_2023,True,COC(C=C1)=CC=C1C2=C3C(SC(C(OC)=O)=C3N)=NC(C4=CC=C(OC)C=C4)=C2,50,8,NA,NA,NA,NA,Undetermined cell inhibition; solubility
9a_Ghoteimi_2023,True,NC1=C(C(NC2=CC=C(C(OCC)=O)C=C2)=O)SC3=NC(C4=CC=C(N5CCOCC5)C=C4)=CC(C6=CC=C(N7CCOCC7)C=C6)=C31,24,7,3,6,NA,NA,NA
9b_Ghoteimi_2023,True,NC1=C(C(NC2=NOC=C2)=O)SC3=NC(C4=CC=C(N5CCOCC5)C=C4)=CC(C6=CC=C(N7CCOCC7)C=C6)=C31,42,5,NA,NA,NA,NA,Undetermined cell inhibition; solubility
9c_Ghoteimi_2023,True,NC1=C(C(NC2=NC=CS2)=O)SC3=NC(C4=CC=C(N5CCOCC5)C=C4)=CC(C6=CC=C(N7CCOCC7)C=C6)=C31,25,4,34,4,NA,NA,NA
9d_Ghoteimi_2023,False,NC1=C(C(OC)=O)SC2=NC(C3=CC=C(N4CCOCC4)C=C3)=CC(C5=CC=C(N6CCOCC6)C=C5)=C21,-8,8,48,6,NA,NA,NA
1a_Grossjean_2025,False,CC1=C(C#N)C(SCC(NC2=CC=C(C(OCC)=O)C=C2)=O)=NC(C)=C1,0,3,20,4,NA,NA,NA
1b_Grossjean_2025,False,CC1=C(C#N)C(SCC(NC2=CC=C(C(OC)=O)C=C2)=O)=NC(C)=C1,-26,5,15,6,NA,NA,NA
1c_Grossjean_2025,False,CC1=C(C#N)C(SCC(NC2=CC=C(OC)C=C2)=O)=NC(C)=C1,16,7,25,3,NA,NA,NA
1d_Grossjean_2025,False,CC1=C(C#N)C(SCC(NC2=CC=CC=C2)=O)=NC(C)=C1,-4,6,10,11,NA,NA,NA
1e_Grossjean_2025,False,CC1=C(C#N)C(SCC(NC2=NC(C)=CC=C2)=O)=NC(C)=C1,-23,8,NA,NA,NA,NA,Undetermined cell inhibition; solubility
1f_Grossjean_2025,False,CC1=C(C#N)C(SCC(NC2=CN=CC=C2)=O)=NC(C)=C1,5,5,-6,7,NA,NA,NA
1g_Grossjean_2025,False,CC1=C(C#N)C(SCC(NCC2=CC=CC=C2)=O)=NC(C)=C1,-16,8,3,6,NA,NA,NA
1h_Grossjean_2025,False,CC1=C(C#N)C(SCC(NCC2=CC(OC)=C(OC)C(OC)=C2)=O)=NC(C)=C1,-14,10,NA,NA,NA,NA,Undetermined cell inhibition; solubility
1i_Grossjean_2025,False,CC1=C(C#N)C(SCC(NC2=NOC=C2)=O)=NC(C)=C1,3,4,38,10,NA,NA,NA
1j_Grossjean_2025,True,CC1=C(C#N)C(SCC(NC2=NC=CS2)=O)=NC(C)=C1,27,6,30,3,NA,NA,NA
1k_Grossjean_2025,False,CC1=C(C#N)C(SCC(NCCOCCOCCOC)=O)=NC(C)=C1,14,4,1,8,NA,NA,NA
1l_Grossjean_2025,False,CC1=C(C#N)C(SCC(NOC)=O)=NC(C)=C1,-25,12,31,7,NA,NA,NA
1m_Grossjean_2025,False,CC1=C(C#N)C(SCC(NCC(OC)=O)=O)=NC(C)=C1,-10,1,21,6,NA,NA,NA
1n_Grossjean_2025,False,CC1=C(C#N)C(SCCC(NC2=CC=C(C(OCC)=O)C=C2)=O)=NC(C)=C1,-5,1,24,2,NA,NA,NA
